City,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description,Wind Speed,Country,Date
trairi,-3.2778,-39.2689,78.48,90,65,broken clouds,8.7,BR,1651175919
santa maria,-29.6842,-53.8069,63.7,88,75,broken clouds,2.3,BR,1651175920
bengkulu,-3.8004,102.2655,77.25,87,100,light rain,3.62,ID,1651175920
zaporizhzhya,47.8167,35.1833,55.74,53,49,scattered clouds,10.85,UA,1651175749
kruisfontein,-34.0033,24.7314,56.88,65,18,few clouds,3.22,ZA,1651175921
rikitea,-23.1203,-134.9692,76.86,70,20,light rain,22.26,PF,1651175921
rocha,-34.4833,-54.3333,58.84,58,0,clear sky,15.21,UY,1651175922
noumea,-22.2763,166.4572,75.99,99,100,overcast clouds,14.83,NC,1651175922
yellowknife,62.456,-114.3525,37.92,52,75,broken clouds,18.41,CA,1651175647
sakaiminato,35.55,133.2333,55.38,88,75,broken clouds,9.22,JP,1651175923
hilo,19.7297,-155.09,82.27,80,19,few clouds,5.99,US,1651175923
ribeira grande,38.5167,-28.7,63.0,94,75,light intensity drizzle rain,10.36,PT,1651175924
ushuaia,-54.8,-68.3,44.26,70,40,scattered clouds,36.82,AR,1651175900
vaini,-21.2,-175.2,77.16,73,40,scattered clouds,10.36,TO,1651175925
moerai,-22.4333,-151.3333,80.1,74,0,clear sky,19.04,PF,1651175925
victoria,22.2855,114.1577,82.18,87,19,few clouds,4.0,HK,1651175685
port-gentil,-0.7193,8.7815,80.56,89,20,few clouds,5.75,GA,1651175926
busselton,-33.65,115.3333,56.68,75,53,broken clouds,5.84,AU,1651175926
thompson,55.7435,-97.8558,46.56,42,75,broken clouds,9.22,CA,1651175781
merced,37.1666,-120.7516,67.05,41,0,clear sky,8.66,US,1651175927
kapaa,22.0752,-159.319,78.78,85,32,scattered clouds,4.0,US,1651175927
carnarvon,-24.8667,113.6333,60.87,77,0,clear sky,10.36,AU,1651175928
albany,42.6001,-73.9662,53.17,21,6,clear sky,7.0,US,1651175629
nanortalik,60.1432,-45.2371,38.82,82,100,overcast clouds,2.51,GL,1651175929
axim,4.8699,-2.2405,78.71,82,100,overcast clouds,3.02,GH,1651175929
hobart,-42.8794,147.3294,58.86,92,3,clear sky,10.36,AU,1651175929
fortuna,40.5982,-124.1573,59.94,61,40,scattered clouds,12.66,US,1651175930
hithadhoo,-0.6,73.0833,84.87,70,100,overcast clouds,7.34,MV,1651175930
pisco,-13.7,-76.2167,71.65,73,0,clear sky,6.91,PE,1651175931
