City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,trairi,BR,78.48,broken clouds,-3.2778,-39.2689,janelas do mar
2,bengkulu,ID,77.25,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
5,rikitea,PF,76.86,light rain,-23.1203,-134.9692,People ThankYou
7,noumea,NC,75.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
13,vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
19,merced,US,67.05,clear sky,37.1666,-120.7516,
20,kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,axim,GH,78.71,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
28,pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
31,ponta do sol,PT,66.7,overcast clouds,32.6667,-17.1,Hotel do Campo
36,paita,PE,73.74,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
40,tura,IN,74.16,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
45,yulara,AU,75.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
49,saint-philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,port hedland,AU,71.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
56,cidreira,BR,66.42,light rain,-30.1811,-50.2056,Hotel Castelo
58,port alfred,ZA,66.31,clear sky,-33.5906,26.891,The Halyards Hotel
62,laguna,US,69.3,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
66,illapel,CL,75.78,clear sky,-31.6308,-71.1653,Hotel Londres
68,atuona,PF,78.51,light rain,-9.8,-139.0333,Villa Enata
71,pangai,TO,79.38,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
76,ouesso,CG,71.2,light rain,1.6136,16.0517,ABENIE Hotel
87,hamilton,US,64.24,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
97,belmonte,BR,76.95,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
100,brejo da madre de deus,BR,75.74,overcast clouds,-8.1458,-36.3711,Pousada e Restaurante do Sossego
101,alanya,TR,69.55,clear sky,36.5438,31.9998,Panorama Hotel
102,sao filipe,CV,72.28,clear sky,14.8961,-24.4956,Hotel Xaguate
105,riyadh,SA,74.93,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
115,saint-joseph,RE,73.78,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
117,dawei,MM,78.69,moderate rain,14.0833,98.2,Hotel Dawei
118,sao joao da barra,BR,78.08,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
119,san jose,US,66,broken clouds,37.3394,-121.895,The Westin San Jose
125,lompoc,US,72.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
126,vao,NC,71.91,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
128,road town,VG,76.82,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
132,itacare,BR,78.15,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
135,kaspiyskiy,RU,64.11,scattered clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
